Participant,D2Criterion,Case,D1Criterion,D1C1,D1C2,D1C3,D1C4,D1C5,D2C2,D2C1,D2C5,D2C4,D2C3,Order,Block,n,CompSelected_mean,CompSelected_raw,CompSelected_std,Correct_mean,Correct_raw,Correct_std,TrainTrial
3,75.52583157,3,10.56955176,0,0,0,0,0,0,1,0,1,1,1,5,1,2,2,0,1,1,0,46
3,36.8968901,2,51.26408742,1,0,1,1,0,0,0,0,0,0,1,5,1,1,1,0,1,1,0,47
3,81.23393467,4,24.19977384,0,0,0,0,0,0,0,0,1,0,1,5,1,2,2,0,1,1,0,48
3,18.36984614,5,54.93013438,0,0,1,0,0,0,0,0,1,0,1,5,1,2,2,0,0,0,0,49
3,44.95939899,1,79.73820581,1,1,0,1,1,0,0,1,0,0,1,5,1,1,1,0,1,1,0,50
3,93.20683049,10,33.44315779,0,0,1,0,1,0,0,0,0,0,2,5,1,1,1,0,0,0,0,51
3,17.66266247,6,63.2252188,0,1,1,1,1,0,0,0,0,0,2,5,1,1,1,0,1,1,0,52
3,92.20569694,9,46.17360724,0,0,1,0,0,0,1,1,0,0,2,5,1,1,1,0,0,0,0,53
3,54.89616799,7,15.93842591,0,1,0,0,1,0,1,1,0,1,2,5,1,2,2,0,1,1,0,54
3,57.79692956,8,4.259146044,0,0,0,1,0,0,1,1,0,1,2,5,1,2,2,0,1,1,0,55
3,33.25043965,15,92.56099387,1,1,0,0,1,0,0,0,0,1,3,5,1,1,1,0,1,1,0,56
3,94.72671527,14,11.13144781,0,0,0,1,1,1,0,1,1,0,3,5,1,2,2,0,1,1,0,57
3,56.76902605,11,0.581961979,1,0,0,0,1,1,1,0,1,0,3,5,1,2,2,0,1,1,0,58
3,67.16392984,13,20.24424705,1,0,1,0,0,1,0,1,0,1,3,5,1,1,1,0,0,0,0,59
3,51.25726353,12,34.988827,0,0,1,0,1,1,1,1,0,1,3,5,1,2,2,0,1,1,0,60
3,40.27830244,4,56.19386629,0,0,0,1,0,0,0,0,0,1,1,2,1,1,1,0,1,1,0,61
